iter	Accuracy	MultiClass
439	0.99875	0.2987711723
440	0.99875	0.2978813953
441	1	0.2972265068
442	1	0.296936582
443	1	0.2964050365
444	0.99875	0.2954492214
445	0.99875	0.2946263031
446	1	0.2940471012
447	0.99875	0.2937948194
448	0.99875	0.2932699546
449	0.99875	0.2927907401
450	0.99875	0.2924893943
451	1	0.2921006499
452	0.99875	0.2916307037
453	1	0.2909007143
454	1	0.2902873642
455	1	0.2897219605
456	1	0.2889511772
457	0.99875	0.2882222262
458	1	0.2872922207
459	1	0.286981809
460	1	0.2862262337
461	1	0.2857148874
462	1	0.2848091696
463	1	0.2840150405
464	1	0.2830672814
465	1	0.2822858911
466	1	0.2813832506
467	1	0.2809013549
468	1	0.279953078
469	1	0.2793263705
470	1	0.2784956107
471	1	0.2777836827
472	1	0.2775069867
473	1	0.2764865127
474	1	0.2753960498
475	1	0.2747471549
476	1	0.2736705771
477	1	0.2729999317
478	1	0.2724935391
479	1	0.2718242227
480	1	0.2709186879
481	1	0.270581121
482	1	0.270350516
483	1	0.2701144534
484	1	0.2691225137
485	1	0.2687193849
486	1	0.2679725406
487	1	0.2671597959
488	1	0.2666027574
489	1	0.2658159817
490	1	0.2650475811
491	1	0.2645144772
492	1	0.2636710608
493	1	0.2631180273
494	1	0.2625830093
495	1	0.2617984534
496	1	0.2610559589
497	1	0.2607148743
498	1	0.2600253815
499	1	0.2594671629
500	1	0.2589897064
501	1	0.2583191421
502	1	0.2578961621
503	1	0.2571170945
504	1	0.256597024
505	1	0.2560070532
506	1	0.2555852086
507	1	0.2549577614
508	1	0.2544617572
509	1	0.2539093622
510	1	0.2532928862
511	1	0.2527358453
512	1	0.2522278596
513	1	0.2518856968
514	1	0.2514200123
515	1	0.2509479468
516	1	0.2504070774
517	1	0.2497592778
518	1	0.2493939669
519	1	0.2491427777
520	1	0.2485855763
521	1	0.2481507793
522	1	0.2475428023
523	1	0.2469126683
524	1	0.2466135239
525	1	0.2460535647
526	1	0.245495118
527	1	0.2451346523
528	1	0.2446952574
529	1	0.244236126
530	1	0.2438015114
531	1	0.2433700791
532	1	0.2428427021
533	1	0.242408707
534	1	0.2422207595
535	1	0.2418759775
536	1	0.2414239565
537	1	0.2410722412
538	1	0.240552548
539	1	0.2399685983
540	1	0.2393111515
541	1	0.2387995224
542	1	0.2379498574
543	1	0.2375619917
544	1	0.2372149633
545	1	0.236702551
546	1	0.2362416141
547	1	0.2357380357
548	1	0.2352455813
549	1	0.2350147219
550	1	0.2347234325
551	1	0.2344721474
552	1	0.2337107145
553	1	0.233145232
554	1	0.2329720015
555	1	0.2325116515
556	1	0.2319679164
557	1	0.2315569246
558	1	0.2310844816
559	1	0.2308146608
560	1	0.2305852911
561	1	0.2300882372
562	1	0.2297504806
563	1	0.2291318246
564	1	0.2284963947
565	1	0.2280687963
566	1	0.2276392842
567	1	0.227026306
568	1	0.2265310568
569	1	0.2260919288
570	1	0.225827658
571	1	0.225482107
572	1	0.2251071003
573	1	0.224603805
574	1	0.2241558803
575	1	0.2235746637
576	1	0.2230236201
577	1	0.2226018793
578	1	0.2220801433
579	1	0.2216848971
580	1	0.2213431151
581	1	0.2209444009
582	1	0.2207261693
583	1	0.2200870714
584	1	0.2195705806
585	1	0.2190058156
586	1	0.2184927332
587	1	0.2180892098
588	1	0.2178593734
589	1	0.2174863338
590	1	0.2170461596
591	1	0.2167507869
592	1	0.2164143912
593	1	0.2159635174
594	1	0.2153382867
595	1	0.2147629292
596	1	0.2143265086
597	1	0.2137046003
598	1	0.2132959238
599	1	0.2128750898
600	1	0.2124639822
601	1	0.212204949
602	1	0.2119398678
603	1	0.2116233008
604	1	0.2112789387
605	1	0.2110017341
606	1	0.2105397784
607	1	0.2101240294
608	1	0.2098933856
609	1	0.2094459736
610	1	0.2090295674
611	1	0.2085614819
612	1	0.2081862786
613	1	0.2075861278
614	1	0.2071770221
615	1	0.2068273603
616	1	0.2066028883
617	1	0.2061417323
618	1	0.205872848
619	1	0.2053947518
620	1	0.2048401355
621	1	0.2044975609
622	1	0.2038941127
623	1	0.2037644372
624	1	0.2033514685
625	1	0.2030031958
626	1	0.2026485989
627	1	0.2022029671
628	1	0.2018087456
629	1	0.2013953673
630	1	0.2009778222
631	1	0.2005362581
632	1	0.2004181937
633	1	0.2000380193
634	1	0.1996588416
635	1	0.1993722934
636	1	0.1990549507
637	1	0.1985867179
638	1	0.1982578087
639	1	0.1977700067
640	1	0.1973521116
641	1	0.1971765906
642	1	0.1967705056
643	1	0.1963347993
644	1	0.1958985573
645	1	0.1955047508
646	1	0.1949159317
647	1	0.1944682133
648	1	0.1941853457
649	1	0.1937689734
650	1	0.193506855
651	1	0.1931590065
652	1	0.1927979577
653	1	0.1924473127
654	1	0.1918741476
655	1	0.1916001051
656	1	0.1911771957
657	1	0.1908894764
658	1	0.1906060235
659	1	0.1902918724
660	1	0.1900196764
661	1	0.1896091031
662	1	0.189277062
663	1	0.1890273933
664	1	0.1886299671
665	1	0.1883279816
666	1	0.1880946935
667	1	0.1878884691
668	1	0.1875053094
669	1	0.1871273693
670	1	0.1867128125
671	1	0.1863237096
672	1	0.1857879532
673	1	0.1852985956
674	1	0.1849780973
675	1	0.1847059129
676	1	0.1844945704
677	1	0.1839690332
678	1	0.1835620377
679	1	0.1832784028
680	1	0.1828961228
681	1	0.1826623312
682	1	0.1822383407
683	1	0.1818220241
684	1	0.1815561503
685	1	0.181328162
686	1	0.1810453823
687	1	0.180675368
688	1	0.1802291698
689	1	0.1800317027
690	1	0.1797348635
691	1	0.1795787824
692	1	0.1791551556
693	1	0.178717652
694	1	0.1784688883
695	1	0.1781731021
696	1	0.1778126762
697	1	0.1774532384
698	1	0.1771234733
699	1	0.1768020049
700	1	0.1763972945
701	1	0.1761206378
702	1	0.1759836664
703	1	0.175694527
704	1	0.1753934518
705	1	0.1751312025
706	1	0.1747755445
707	1	0.1744741169
708	1	0.1740510567
709	1	0.173648096
710	1	0.1734264236
711	1	0.1731437716
712	1	0.1730275495
713	1	0.1726002143
714	1	0.1722462756
715	1	0.1719639325
716	1	0.1717573829
717	1	0.1714248736
718	1	0.1711398379
719	1	0.1708302801
720	1	0.1705562936
721	1	0.1703276736
722	1	0.1699882858
723	1	0.1697275976
724	1	0.1693688403
725	1	0.1690786566
726	1	0.1688399604
727	1	0.1685200082
728	1	0.1681002262
729	1	0.1677330214
730	1	0.1673361873
731	1	0.1669143381
732	1	0.1665258604
733	1	0.1661221366
734	1	0.1658777678
735	1	0.1656347814
736	1	0.1654369972
737	1	0.1652612463
738	1	0.1651462882
739	1	0.1648437615
740	1	0.164575659
741	1	0.1641842442
742	1	0.1638953226
743	1	0.1635063339
744	1	0.1633289289
745	1	0.1629493971
746	1	0.1626258046
747	1	0.1624261242
748	1	0.1621143559
749	1	0.1617948912
750	1	0.1614570342
751	1	0.1612215445
752	1	0.1607852725
753	1	0.160504051
754	1	0.1601996036
755	1	0.1599650884
756	1	0.1598473349
757	1	0.159503708
758	1	0.15916201
759	1	0.1590009469
760	1	0.1586371993
761	1	0.1583788555
762	1	0.1580936601
763	1	0.1577580258
764	1	0.157460848
765	1	0.1571414079
766	1	0.1570427469
767	1	0.1567485477
768	1	0.1563700503
769	1	0.1561457968
770	1	0.1558285352
771	1	0.1556451488
772	1	0.1554251145
773	1	0.1550952483
774	1	0.1548440348
775	1	0.1546118713
776	1	0.154265497
777	1	0.154041631
778	1	0.1538477598
779	1	0.1535117757
780	1	0.1532697307
781	1	0.1529830417
782	1	0.1527642982
783	1	0.152710966
784	1	0.1524617016
785	1	0.1522662053
786	1	0.1520263284
787	1	0.151723063
788	1	0.1513924645
789	1	0.1512574795
790	1	0.1510025009
791	1	0.150746067
792	1	0.1504504949
793	1	0.1503292423
794	1	0.1501549843
795	1	0.1500038424
796	1	0.1498041458
797	1	0.1493429599
798	1	0.1491093583
799	1	0.1489367671
800	1	0.1487537302
801	1	0.1482885678
802	1	0.1480288257
803	1	0.1477437529
804	1	0.1474932044
805	1	0.147239536
806	1	0.1470402078
807	1	0.1468617323
808	1	0.1466255727
809	1	0.1463657052
810	1	0.1460972194
811	1	0.1458614068
812	1	0.1457410728
813	1	0.1454812819
814	1	0.1452892046
815	1	0.1449860176
816	1	0.1446813861
817	1	0.1444731245
818	1	0.1442841941
819	1	0.1440366016
820	1	0.1437780285
821	1	0.143418695
822	1	0.1431396788
823	1	0.1428437408
824	1	0.1425720064
825	1	0.1423852066
826	1	0.1422411844
827	1	0.1421305424
828	1	0.1420121558
829	1	0.1417638819
830	1	0.1415413972
831	1	0.1413369175
832	1	0.1410612043
833	1	0.1409497148
834	1	0.1406566109
835	1	0.140381715
836	1	0.1402011957
837	1	0.1400440398
838	1	0.1397917609
839	1	0.1396244424
840	1	0.1392727426
841	1	0.1390112235
842	1	0.138800521
843	1	0.1386359891
844	1	0.1384237329
845	1	0.1382737232
846	1	0.1380355482
847	1	0.1377638668
848	1	0.1376592323
849	1	0.1375793756
